drug_name,drug_id,disease_name,disease_id
salicylic acid,CHEBI:16914,pityriasis simplex,MONDO:0024343
felbamate,CHEBI:4995,Focal aware seizure,HP:0002349
cefapirin,CHEBI:554446,Osteomyelitis caused by Staphylococcus aureus,UMLS:C1997728
medroxyprogesterone,CHEBI:6715,endometrial carcinoma,MONDO:0002447
demeclocycline,UNII:5R5W9ICI6O,pharyngitis,MONDO:0002258
gemfibrozil,CHEBI:5296,hypertriglyceridemia,MONDO:0005347
rolapitant,CHEBI:90908,Chemotherapy-induced nausea and vomiting,UMLS:C0401160
glibenclamide,CHEBI:5441,type 2 diabetes mellitus,MONDO:0005148
fluticasone,CHEBI:5134,Pruritus of genital organs,UMLS:C0033777
prednisolone,CHEBI:8378,adrenocortical insufficiency,MONDO:0000004
brompheniramine,CHEBI:3183,Flu-Like Symptoms,NCIT:C78302
cortisol,CHEBI:5783,mycosis fungoides,MONDO:0009691
salicylic acid,CHEBI:16914,"epidermolytic palmoplantar keratoderma, 1",MONDO:0007758
prednisolone,CHEBI:8378,adrenogenital syndrome,MONDO:0015898
methylprednisolone,CHEBI:6888,Laryngeal edema,HP:0012027
amphotericin B,CHEBI:2682,relapsing fever,MONDO:0019633
ibuprofen,CHEBI:5855,Severe pain,UMLS:C0278140
megestrol,CHEBI:6722,Hormone receptor positive malignant neoplasm of breast,UMLS:C1562029
ibrutinib,CHEBI:76612,marginal zone lymphoma,MONDO:0017604
magnesium carbonate,PUBCHEM.COMPOUND:11029,constipation disorder,MONDO:0002203
alclometasone dipropionate,CHEBI:31184,"dermatitis, atopic",MONDO:0011292
rivaroxaban,CHEBI:68579,acute coronary syndrome,MONDO:0005542
levofloxacin,CHEBI:63598,Group A Streptococcal Infections,UMLS:C0554628
tetracycline,CHEBI:27902,bacterial conjunctivitis,MONDO:0006668
carteolol,CHEBI:3437,open-angle glaucoma,MONDO:0005338
tazobactam,CHEBI:9421,"Pneumonia, Ventilator-Associated",UMLS:C1701940
pergolide,CHEBI:63617,parkinsonian disorder,MONDO:0021095
clopidogrel,CHEBI:37941,intermediate coronary syndrome,MONDO:0006805
lidocaine,CHEBI:6456,postherpetic neuralgia,MONDO:0041052
piperacillin,CHEBI:8232,Haemophilus influenzae pneumonia,UMLS:C0276026
ceftaroline fosamil,CHEBI:70718,Bacterial infection caused by Klebsiella pneumoniae,UMLS:C0343402
oritavancin,CHEBI:82699,cellulitis,MONDO:0005230
benzalkonium,CHEBI:135611,Pruritus,HP:0000989
amphotericin B,CHEBI:2682,Infective otitis media,UMLS:C0729586
triamcinolone,CHEBI:9667,granuloma annulare,MONDO:0006554
minocycline,CHEBI:50694,ornithosis,MONDO:0005888
mepyramine,CHEBI:6762,vasomotor rhinitis,MONDO:0006004
norfloxacin,CHEBI:100246,chancroid,MONDO:0001797
amikacin,CHEBI:2637,Proteus pneumonia,UMLS:C1260917
docetaxel,CHEBI:4672,non-small cell lung carcinoma,MONDO:0005233
cefuroxime,CHEBI:3515,Streptococcal bacteremia,UMLS:C0152964
ticarcillin,CHEBI:9587,escherichia coli infection,MONDO:0020920
methyltestosterone,CHEBI:27436,Hormone receptor positive malignant neoplasm of breast,UMLS:C1562029
cladribine,CHEBI:567361,hairy cell leukemia,MONDO:0018935
dantrolene,CHEBI:4317,Spasticity,HP:0001257
hydroxychloroquine,CHEBI:5801,systemic lupus erythematosus,MONDO:0007915
desonide,CHEBI:204734,Psoriasis of scalp,UMLS:C0406326
magnesium carbonate,PUBCHEM.COMPOUND:11029,peptic ulcer disease,MONDO:0004247
clemastine,CHEBI:3738,urticaria,MONDO:0005492
bunolol,CHEBI:6438,open-angle glaucoma,MONDO:0005338
meclofenamic acid,CHEBI:6710,osteoarthritis,MONDO:0005178
nicotinyl alcohol,CHEBI:45213,pellagra,MONDO:0019975
morphine,CHEBI:17303,diarrheal disease,MONDO:0001673
primidone,CHEBI:8412,epilepsy with generalized tonic-clonic seizures,MONDO:0005754
perazine,CHEBI:59118,anxiety,MONDO:0011918
loteprednol etabonate,CHEBI:31784,Ocular Rosacea,UMLS:C0406486
cefadroxil,CHEBI:3479,bacterial urinary tract infection,MONDO:0005247
clobetasol propionate,CHEBI:31414,Nummular eczema,HP:0033120
selegiline,CHEBI:9086,Parkinson disease,MONDO:0005180
cortisol,CHEBI:5783,multiple sclerosis,MONDO:0005301
pilocarpine,CHEBI:8207,Xerostomia,HP:0000217
telaprevir,CHEBI:68595,chronic hepatitis C virus infection,MONDO:0005354
aceprometazine,CHEBI:53770,insomnia,MONDO:0013600
sulfamethoxazole,CHEBI:9332,nocardiosis,MONDO:0017776
dextromethorphan,CHEBI:4470,allergic rhinitis,MONDO:0011786
sodium aurothiomalate,PUBCHEM.COMPOUND:22318,juvenile idiopathic arthritis,MONDO:0011429
nicotinyl alcohol,CHEBI:45213,Meniere disease,MONDO:0007972
pravastatin,CHEBI:63618,hyperlipoproteinemia type 3,MONDO:0018473
lansoprazole,CHEBI:6375,gastric ulcer,MONDO:0001126
alclometasone dipropionate,CHEBI:31184,Chronic small plaque psoriasis,UMLS:C0406317
acrivastine,CHEBI:83168,Nasal congestion,HP:0001742
levomethadyl acetate,CHEBI:6441,opiate dependence,MONDO:0005530
prednisone,CHEBI:8382,skin disorder,MONDO:0005093
topiramate,CHEBI:63631,Lennox-Gastaut syndrome,MONDO:0016532
formestane,CHEBI:75172,female breast carcinoma,MONDO:0004379
prednisolone,CHEBI:8378,Stevens-Johnson syndrome,MONDO:0018229
alclofenac,CHEBI:31183,ankylosing spondylitis,MONDO:0005306
tetryzoline,CHEBI:28674,Nasal congestion,HP:0001742
sufentanil,CHEBI:9316,Post-Operative Pain,NCIT:C34887
rofecoxib,CHEBI:8887,Pain,HP:0012531
dorzolamide,CHEBI:4702,open-angle glaucoma,MONDO:0005338
salicylic acid,CHEBI:16914,Pain,HP:0012531
amlodipine,CHEBI:2668,stroke disorder,MONDO:0005098
vancomycin,CHEBI:28001,Clostridium difficile colitis,MONDO:0000705
cefuroxime,CHEBI:3515,Bacterial sepsis,UMLS:C0684256
loteprednol etabonate,CHEBI:31784,iridocyclitis,MONDO:0004773
remdesivir,CHEBI:145994,COVID-19,MONDO:0100096
triamcinolone,CHEBI:9667,allergic rhinitis,MONDO:0011786
carvedilol,CHEBI:3441,congestive heart failure,MONDO:0005009
beraprost,CHEBI:135633,pulmonary arterial hypertension,MONDO:0015924
piperacillin,CHEBI:8232,Female genital tract infection,UMLS:C1263758
indomethacin,CHEBI:49662,tenosynovitis,MONDO:0004855
metronidazole,CHEBI:6909,bacterial vaginosis,MONDO:0005316
ciprofloxacin,CHEBI:100241,Enterobacteriaceae Infections,UMLS:C0014347
desonide,CHEBI:204734,primary cutaneous T-cell non-Hodgkin lymphoma,MONDO:0000607
dextromethorphan,CHEBI:4470,common cold,MONDO:0005709
camostat,CHEBI:135632,Gastro-esophageal reflux disease with esophagitis,UMLS:C0677659
rofecoxib,CHEBI:8887,juvenile idiopathic arthritis,MONDO:0011429
tazarotene,CHEBI:32184,psoriasis,MONDO:0005083
rabeprazole,CHEBI:8768,Zollinger-Ellison syndrome,MONDO:0019610
amikacin,CHEBI:2637,Bacterial urinary infection,UMLS:C0729524
primidone,CHEBI:8412,Lennox-Gastaut syndrome,MONDO:0016532
amcinonide,CHEBI:31199,Lichen Simplex Chronicus,UMLS:C0149922
pioglitazone,CHEBI:8228,type 2 diabetes mellitus,MONDO:0005148
tazobactam,CHEBI:9421,appendicitis,MONDO:0005649
nicotine,CHEBI:17688,nicotine dependence,MONDO:0008575
posaconazole,CHEBI:64355,aspergillosis,MONDO:0005657
acrivastine,CHEBI:83168,vasomotor rhinitis,MONDO:0006004
fluticasone,CHEBI:5134,asthma,MONDO:0004979
aclidinium,CHEBI:65346,chronic obstructive pulmonary disease,MONDO:0005002
amphotericin B,CHEBI:2682,yaws,MONDO:0006019
methylprednisolone,CHEBI:6888,aspiration pneumonitis,MONDO:0002572
sulfisoxazole,CHEBI:102484,nocardiosis,MONDO:0017776
cefapirin,CHEBI:554446,staphylococcus aureus infection,MONDO:0005545
ibuprofen,CHEBI:5855,rheumatoid arthritis,MONDO:0008383
doxifluridine,CHEBI:31521,Primary malignant neoplasm of gastrointestinal tract,UMLS:C1306632
flecainide,CHEBI:75984,atrial fibrillation,MONDO:0004981
doxylamine,CHEBI:51380,Flu-Like Symptoms,NCIT:C78302
cefotetan,PUBCHEM.COMPOUND:53024,Group A Streptococcal Infections,UMLS:C0554628
ceftriaxone,CHEBI:29007,Enterobacteriaceae Infections,UMLS:C0014347
nitroglycerin,CHEBI:28787,Left ventricular cardiac dysfunction,UMLS:C1997351
imipramine,CHEBI:47499,depressive disorder,MONDO:0002050
sulfanilamide,CHEBI:45373,vulvovaginal candidiasis,MONDO:0006014
sulindac,CHEBI:9352,tendinitis,MONDO:0004857
ephedrine,CHEBI:15407,allergic rhinitis,MONDO:0011786
saroglitazar,CHEBI:134708,Dyslipidemia due to type 2 diabetes mellitus,UMLS:C3661933
guaiacol,CHEBI:28591,Cough,HP:0012735
bleomycin,CHEBI:3139,non-Hodgkin lymphoma,MONDO:0018908
daunorubicin,CHEBI:41977,Kaposi's sarcoma,MONDO:0005055
azapropazone,CHEBI:38010,osteoarthritis,MONDO:0005178
melatonin,CHEBI:16796,insomnia,MONDO:0013600
theophylline,CHEBI:28177,lung disorder,MONDO:0005275
streptozocin,CHEBI:9288,Neuroendocrine tumor of pancreas,UMLS:C4305467
cetirizine,CHEBI:3561,Rhinorrhea,HP:0031417
methylprednisolone,CHEBI:6888,Exacerbation of asthma,UMLS:C0349790
buprenorphine,CHEBI:3216,Chronic pain,HP:0012532
remifentanil,CHEBI:8802,"Postoperative Pain, Acute",UMLS:C2215257
phenmetrazine,CHEBI:8067,obesity disorder,MONDO:0011122
carfilzomib,CHEBI:65347,Relapse multiple myeloma,UMLS:C2349261
cefotetan,PUBCHEM.COMPOUND:53024,endometritis,MONDO:0000918
allopurinol,CHEBI:40279,Uric acid renal calculus,UMLS:C0558595
duloxetine,CHEBI:36795,fibromyalgia,MONDO:0005546
probenecid,CHEBI:8426,Chronic gouty arthritis,UMLS:C0268108
esomeprazole,CHEBI:50275,peptic ulcer disease,MONDO:0004247
carbinoxamine,CHEBI:3398,vasomotor rhinitis,MONDO:0006004
prednisolone,CHEBI:8378,erythema multiforme,MONDO:0006545
tigecycline,UNII:70JE2N95KR,streptococcal pneumonia,MONDO:0005972
chloramphenicol,CHEBI:3605,otitis externa,MONDO:0004795
phenytoin,CHEBI:8107,focal epilepsy,MONDO:0005384
(-)-menthol,CHEBI:15409,Back pain,HP:0003418
cortisol,CHEBI:5783,proctitis,MONDO:0005538
dextromethorphan,CHEBI:4470,vasomotor rhinitis,MONDO:0006004
loracarbef,CHEBI:47544,Group A Streptococcal Infections,UMLS:C0554628
metoprolol,CHEBI:6904,acute coronary syndrome,MONDO:0005542
ciprofloxacin,CHEBI:100241,typhoid fever,MONDO:0005619
oxybutynin,CHEBI:144551,Neurogenic bladder,HP:0000011
amantadine,CHEBI:2618,Parkinson disease,MONDO:0005180
prednisolone,CHEBI:8378,seborrheic dermatitis,MONDO:0006608
minocycline,CHEBI:50694,Fusospirochetal pharyngitis,UMLS:C1318559
methdilazine,CHEBI:6823,familial dermatographia,MONDO:0007448
topotecan,CHEBI:63632,cervical cancer,MONDO:0002974
nedocromil,CHEBI:7492,atopic conjunctivitis,MONDO:0005642
bempedoic acid,CHEBI:149601,Familial hypercholesterolemia - heterozygous,UMLS:C0342882
cefoxitin,CHEBI:209807,Urinary tract infection caused by Escherichia coli,UMLS:C0577708
dextromethorphan,CHEBI:4470,headache disorder,MONDO:0021146
bexarotene,CHEBI:50859,primary cutaneous T-cell non-Hodgkin lymphoma,MONDO:0000607
ferric citrate,PUBCHEM.COMPOUND:61300,iron deficiency anemia,MONDO:0001356
clarithromycin,CHEBI:3732,Haemophilus influenzae otitis media,UMLS:C0276027
duloxetine,CHEBI:36795,female stress incontinence,MONDO:0004160
lisuride,CHEBI:51164,migraine disorder,MONDO:0005277
sulfamethizole,CHEBI:9331,Acute otitis media,HP:0000371
demeclocycline,UNII:5R5W9ICI6O,anthrax infection,MONDO:0005119
prednisolone,CHEBI:8378,bacterial conjunctivitis,MONDO:0006668
ticarcillin,CHEBI:9587,Haemophilus influenzae pneumonia,UMLS:C0276026
antazoline,CHEBI:84115,Red eye,HP:0025337
doxycycline,PUBCHEM.COMPOUND:54671203,rickettsialpox,MONDO:0019360
imipenem,CHEBI:471744,escherichia coli infection,MONDO:0020920
ganciclovir,CHEBI:465284,Paroxysmal supraventricular tachycardia,HP:0004763
rosuvastatin,CHEBI:38545,hyperlipoproteinemia type 3,MONDO:0018473
loteprednol etabonate,CHEBI:31784,rosacea,MONDO:0006604
ampicillin,CHEBI:28971,Streptococcal tonsillitis,UMLS:C0275804
progesterone,CHEBI:17026,endometriosis,MONDO:0005133
avanafil,CHEBI:66876,erectile dysfunction,MONDO:0005362
bleomycin,CHEBI:3139,penile cancer,MONDO:0001325
methimazole,CHEBI:50673,hyperthyroidism,MONDO:0004425
norfloxacin,CHEBI:100246,Female pelvic cellulitis,UMLS:C0349734
amcinonide,CHEBI:31199,Pruritus Ani,UMLS:C0033775
norfloxacin,CHEBI:100246,Infective cystitis,UMLS:C0600041
orciprenaline,CHEBI:6792,asthma,MONDO:0004979
sulfogaiacol,CHEBI:85537,rhinitis,MONDO:0003014
triamcinolone,CHEBI:9667,skin disorder,MONDO:0005093
cefalotin,CHEBI:124991,arthropathy,MONDO:0006816
moclobemide,CHEBI:83531,depressive disorder,MONDO:0002050
norfloxacin,CHEBI:100246,Acute bacterial sinusitis,UMLS:C0275556
pramocaine,CHEBI:8357,hemorrhoid,MONDO:0004872
alclometasone dipropionate,CHEBI:31184,discoid lupus erythematosus,MONDO:0019558
pomalidomide,CHEBI:72690,plasma cell myeloma,MONDO:0009693
amantadine,CHEBI:2618,Influenza caused by Influenza A virus,UMLS:C2711180
ceftriaxone,CHEBI:29007,Acute gonococcal urethritis,UMLS:C0275652
ciprofloxacin,CHEBI:100241,Infective cystitis,UMLS:C0600041
cefazolin,CHEBI:474053,staphylococcal pneumonia,MONDO:0005970
trovafloxacin,CHEBI:9763,Postoperative infection,UMLS:C0392618
levofloxacin,CHEBI:63598,staphylococcus aureus infection,MONDO:0005545
desoximetasone,CHEBI:691037,Pruritus of genital organs,UMLS:C0033777
cefmetazole,CHEBI:3489,streptococcal pneumonia,MONDO:0005972
chlorpheniramine,CHEBI:52010,allergic rhinitis,MONDO:0011786
desloratadine,CHEBI:291342,allergic rhinitis,MONDO:0011786
norfloxacin,CHEBI:100246,Bacterial urinary infection,UMLS:C0729524
colchicine,CHEBI:27882,Chronic gouty arthritis,UMLS:C0268108
metronidazole,CHEBI:6909,Abdominal Abscess,UMLS:C0243001
amoxicillin,CHEBI:2676,pharyngitis,MONDO:0002258
calcifediol,CHEBI:17933,Hypocalcemia,HP:0002901
moxifloxacin,CHEBI:63611,peritonitis,MONDO:0004522
mercaptopurine,PUBCHEM.COMPOUND:667490,acute promyelocytic leukemia,MONDO:0012883
brompheniramine,CHEBI:3183,Rhinorrhea,HP:0031417
cladribine,CHEBI:567361,relapsing-remitting multiple sclerosis,MONDO:0005314
orciprenaline,CHEBI:6792,pulmonary emphysema,MONDO:0004849
levofloxacin,CHEBI:63598,Mycoplasma pneumoniae pneumonia,MONDO:0005867
risperidone,CHEBI:8871,bipolar disorder,MONDO:0004985
norfloxacin,CHEBI:100246,bronchitis,MONDO:0003781
cefpodoxime,CHEBI:3504,Haemophilus influenzae otitis media,UMLS:C0276027
proglumetacin,CHEBI:76263,arthritic joint disease,MONDO:0005578
nafcillin,CHEBI:7447,Staphylococcal meningitis,UMLS:C0154640
azlocillin,CHEBI:2956,Pneumonia caused by Escherichia coli,UMLS:C0276089
fluocinolone acetonide,CHEBI:5108,choroiditis,MONDO:0001280
amikacin,CHEBI:2637,arthropathy,MONDO:0006816
alclometasone dipropionate,CHEBI:31184,seborrheic dermatitis,MONDO:0006608
