,drug_name,drug_id,disease_name,disease_id
262,ruxolitinib,CHEBI:66919,acute graft versus host disease,MONDO:0020546
263,triamcinolone,CHEBI:9667,"dermatitis, atopic",MONDO:0011292
264,nebivolol,CHEBI:64019,hypertensive disorder,MONDO:0005044
265,sumatriptan,CHEBI:10650,migraine disorder,MONDO:0005277
266,clobetasol propionate,CHEBI:31414,"dermatitis, atopic",MONDO:0011292
267,azatadine,CHEBI:2946,allergic rhinitis,MONDO:0011786
268,aztreonam,CHEBI:94511,Serratia sepsis,UMLS:C0152973
269,ofloxacin,CHEBI:194135,Pseudomonas aeruginosa infectious disease,MONDO:0040732
270,fingolimod,CHEBI:63115,relapsing-remitting multiple sclerosis,MONDO:0005314
271,cortisol,CHEBI:5783,otitis externa,MONDO:0004795
272,salicylic acid,CHEBI:16914,keratinization disease,MONDO:0045011
273,fluorometholone,CHEBI:31625,atopic conjunctivitis,MONDO:0005642
274,sulfisoxazole,CHEBI:102484,bacterial urinary tract infection,MONDO:0005247
275,nadifloxacin,CHEBI:31889,acne,MONDO:0011438
276,methylprednisolone,CHEBI:6888,bursitis,MONDO:0002471
277,trovafloxacin,CHEBI:9763,Abdominal Infection,UMLS:C1112209
278,desmopressin,CHEBI:4450,hemophilia A,MONDO:0010602
279,cefepime,CHEBI:478164,Abdominal Infection,UMLS:C1112209
280,triamcinolone,CHEBI:9667,skin disorder,MONDO:0005093
281,piperazine,CHEBI:28568,ascariasis,MONDO:0005654
282,chlorothiazide,CHEBI:3640,Hypertensive Urgency,UMLS:C0745138
283,demeclocycline,UNII:5R5W9ICI6O,granuloma inguinale,MONDO:0005777
284,imipenem,CHEBI:471744,osteomyelitis,MONDO:0005246
285,prednisolone,CHEBI:8378,rheumatoid arthritis,MONDO:0008383
286,melphalan,CHEBI:28876,ovarian cancer,MONDO:0008170
287,sulfadiazine,CHEBI:9328,ulcerative colitis,MONDO:0005101
288,loratadine,CHEBI:6538,allergic rhinitis,MONDO:0011786
289,cefaclor,CHEBI:3478,pharyngitis,MONDO:0002258
290,triamcinolone,CHEBI:9667,systemic lupus erythematosus,MONDO:0007915
291,guanabenz,CHEBI:5553,hypertensive disorder,MONDO:0005044
292,chloramphenicol,CHEBI:3605,streptococcal meningitis,MONDO:0001316
293,ruxolitinib,CHEBI:66919,primary myelofibrosis,MONDO:0009692
294,dirithromycin,CHEBI:474014,bronchitis,MONDO:0003781
295,tofacitinib,CHEBI:71200,ulcerative colitis,MONDO:0005101
296,velpatasvir,CHEBI:133009,chronic hepatitis C virus infection,MONDO:0005354
297,astemizole,CHEBI:2896,atopic conjunctivitis,MONDO:0005642
