drug_name,drug_id,disease_name,disease_id
benzocaine,CHEBI:116735,tinea corporis,MONDO:0001461
tivozanib,CHEBI:91327,renal cell carcinoma,MONDO:0005086
mezlocillin,CHEBI:6919,acute gonococcal cervicitis,MONDO:0001080
oxacillin,CHEBI:7809,staphylococcal infection,MONDO:0024313
prednisolone,CHEBI:8378,musculoskeletal system disorder,MONDO:0002081
piperacillin,CHEBI:8232,Hospital acquired pneumonia,UMLS:C0949083
fluoxetine,CHEBI:5118,depressive disorder,MONDO:0002050
prednisone,CHEBI:8382,adrenogenital syndrome,MONDO:0015898
methdilazine,CHEBI:6823,Pruritus,HP:0000989
vericiguat,CHEBI:142432,congestive heart failure,MONDO:0005009
amphetamine,CHEBI:132233,obesity disorder,MONDO:0011122
amikacin,CHEBI:2637,Abdominal Infection,UMLS:C1112209
midazolam,CHEBI:6931,status epilepticus,MONDO:0002125
hydroxyurea,CHEBI:44423,head and neck cancer,MONDO:0005627
terbutaline,CHEBI:9449,Pruritus,HP:0000989
potassium citrate,PUBCHEM.COMPOUND:13344,renal tubular acidosis,MONDO:0001909
prednisolone,CHEBI:8378,Ocular Rosacea,UMLS:C0406486
sulfacetamide,CHEBI:63845,inclusion conjunctivitis,MONDO:0005808
glycerol,CHEBI:17754,constipation disorder,MONDO:0002203
amikacin,CHEBI:2637,Urinary tract infection caused by Klebsiella,UMLS:C4076057
PGE1,CHEBI:15544,Pulmonary valve atresia,HP:0010882
betamethasone,CHEBI:3077,humoral hypercalcemia of malignancy,MONDO:0043455
benazepril,CHEBI:3011,hypertensive disorder,MONDO:0005044
crizotinib,CHEBI:64310,non-small cell lung carcinoma,MONDO:0005233
travoprost,CHEBI:188986,ocular hypertension,MONDO:0006875
citric acid,CHEBI:30769,common cold,MONDO:0005709
lidocaine,CHEBI:6456,Pruritus Ani,UMLS:C0033775
mezlocillin,CHEBI:6919,Bacterial sepsis,UMLS:C0684256
cefotaxime,CHEBI:94427,Female genital tract infection,UMLS:C1263758
ceftriaxone,CHEBI:29007,Escherichia coli septicemia,UMLS:C0276088
caffeine,CHEBI:27732,Dysmenorrhea,HP:0100607
triamcinolone,CHEBI:9667,systemic lupus erythematosus,MONDO:0007915
cefotetan,PUBCHEM.COMPOUND:53024,Peptostreptococcus infectious disease,MONDO:0024412
cortisol,CHEBI:5783,brain edema,MONDO:0006684
sotalol,CHEBI:63622,atrial fibrillation,MONDO:0004981
methadone,CHEBI:167309,Severe pain,UMLS:C0278140
moxifloxacin,CHEBI:63611,Enterobacteriaceae Infections,UMLS:C0014347
delavirdine,CHEBI:119573,HIV infectious disease,MONDO:0005109
piperacillin,CHEBI:8232,Proteus septicemia,UMLS:C0577690
cefixime,CHEBI:93248,Acute gonococcal urethritis,UMLS:C0275652
budesonide,CHEBI:3207,Crohn disease,MONDO:0005011
aspirin,CHEBI:15365,headache disorder,MONDO:0021146
lovastatin,CHEBI:40303,arteriosclerosis disorder,MONDO:0002277
bupivacaine,CHEBI:3215,Skin Irritation,NCIT:C50743
amitriptyline,CHEBI:2666,depressive disorder,MONDO:0002050
cefalotin,CHEBI:124991,Haemophilus influenzae pneumonia,UMLS:C0276026
ergocalciferol,CHEBI:28934,rickets,MONDO:0005520
enfuvirtide,CHEBI:608828,HIV infectious disease,MONDO:0005109
ampicillin,CHEBI:28971,Haemophilus influenzae pneumonia,UMLS:C0276026
trovafloxacin,CHEBI:9763,acute gonococcal endometritis,MONDO:0004264
methylprednisolone,CHEBI:6888,rheumatic heart disease,MONDO:0006955
phenylephrine,CHEBI:8093,common cold,MONDO:0005709
tafamidis,CHEBI:78538,Cardiac amyloidosis,HP:0030843
dexbrompheniramine,CHEBI:59269,atopic conjunctivitis,MONDO:0005642
fenofibrate,CHEBI:5001,hypertriglyceridemia,MONDO:0005347
caffeine,CHEBI:27732,allergic rhinitis,MONDO:0011786
cefditoren,CHEBI:59343,Acute exacerbation of chronic bronchitis,UMLS:C0856695
cyclizine,CHEBI:3994,atopic conjunctivitis,MONDO:0005642
axitinib,CHEBI:66910,renal cell carcinoma,MONDO:0005086
imipenem,CHEBI:471744,Recurrent lower respiratory tract infections,HP:0002783
citric acid,CHEBI:30769,Cough,HP:0012735
cefamandole,CHEBI:3480,Recurrent lower respiratory tract infections,HP:0002783
amphotericin B,CHEBI:2682,ornithosis,MONDO:0005888
aprepitant,CHEBI:499361,Chemotherapy-induced nausea and vomiting,UMLS:C0401160
cilostazol,CHEBI:31401,intermittent vascular claudication,MONDO:0005295
ofloxacin,CHEBI:194135,Pneumonia caused by Pseudomonas,UMLS:C0155860
norfloxacin,CHEBI:100246,Abdominal Infection,UMLS:C1112209
bezafibrate,CHEBI:47612,Hypercholesterolemia,HP:0003124
clavulanic acid,CHEBI:48947,bacterial pneumonia,MONDO:0004652
enalapril,CHEBI:4784,congestive heart failure,MONDO:0005009
eslicarbazepine,CHEBI:87016,focal epilepsy,MONDO:0005384
doxylamine,CHEBI:51380,allergic rhinitis,MONDO:0011786
spectinomycin,CHEBI:9215,acute gonococcal cervicitis,MONDO:0001080
cefotaxime,CHEBI:94427,Urinary tract infection caused by Escherichia coli,UMLS:C0577708
imatinib,CHEBI:45783,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO:0011996
demeclocycline,UNII:5R5W9ICI6O,stomatitis,MONDO:0004842
neostigmine,CHEBI:7514,myasthenia gravis,MONDO:0009688
cefapirin,CHEBI:554446,Urinary tract infection caused by Escherichia coli,UMLS:C0577708
naproxen,CHEBI:7476,Toothache,NCIT:C78640
dextromethorphan,CHEBI:4470,Flu-Like Symptoms,NCIT:C78302
cefotaxime,CHEBI:94427,Neonatal meningitis,UMLS:C0456107
valacyclovir,CHEBI:35854,genital herpes,MONDO:0005770
sermorelin,CHEBI:9118,pituitary dwarfism,MONDO:0006909
azithromycin,CHEBI:2955,Streptococcal tonsillitis,UMLS:C0275804
lidocaine,CHEBI:6456,Ventricular arrhythmia,HP:0004308
ciprofloxacin,CHEBI:100241,staphylococcus aureus infection,MONDO:0005545
bacampicillin,CHEBI:2968,Infective otitis media,UMLS:C0729586
demeclocycline,UNII:5R5W9ICI6O,staphylococcus aureus infection,MONDO:0005545
diphenylpyraline,CHEBI:59788,urticaria,MONDO:0005492
minocycline,CHEBI:50694,lymphogranuloma venereum,MONDO:0005834
naltrexone,CHEBI:7465,Therapeutic opioid induced constipation,UMLS:C3874358
oxytetracycline,CHEBI:133011,Gonorrhea of rectum,UMLS:C0275665
mannitol,CHEBI:16899,pseudotumor cerebri,MONDO:0009468
piroxicam,CHEBI:8249,osteoarthritis,MONDO:0005178
benzydamine,CHEBI:94563,Pain,HP:0012531
fluvoxamine,CHEBI:5138,social phobia,MONDO:0001247
lomefloxacin,CHEBI:116278,Klebsiella cystitis,UMLS:C0520775
ofloxacin,CHEBI:194135,Pneumonia caused by Escherichia coli,UMLS:C0276089
dyphylline,CHEBI:4728,Asthma night-time symptoms,UMLS:C1273489
lithium citrate,CHEBI:16947,manic bipolar affective disorder,MONDO:0024612
ofloxacin,CHEBI:194135,dysentery,MONDO:0001517
loteprednol etabonate,CHEBI:31784,iritis,MONDO:0006814
norfloxacin,CHEBI:100246,Haemophilus influenzae pneumonia,UMLS:C0276026
potassium iodide,PUBCHEM.COMPOUND:4875,Cough,HP:0012735
methapyrilene,CHEBI:6820,Nasal congestion,HP:0001742
caffeine,CHEBI:27732,Arthralgia,HP:0002829
methylprednisolone,CHEBI:6888,skin disorder,MONDO:0005093
clavulanic acid,CHEBI:48947,streptococcal pneumonia,MONDO:0005972
desonide,CHEBI:204734,otitis externa,MONDO:0004795
ampicillin,CHEBI:28971,cholangitis,MONDO:0004789
riociguat,CHEBI:76018,chronic thromboembolic pulmonary hypertension,MONDO:0013024
ammonia,CHEBI:16134,seborrheic dermatitis,MONDO:0006608
chlorothiazide,CHEBI:3640,congestive heart failure,MONDO:0005009
methyldopate,CHEBI:94761,hypertensive disorder,MONDO:0005044
setiptiline,CHEBI:135076,depressive disorder,MONDO:0002050
cyproheptadine,CHEBI:4046,Nasal congestion,HP:0001742
norethisterone,CHEBI:7627,postmenopausal osteoporosis,MONDO:0008159
doxycycline,PUBCHEM.COMPOUND:54671203,gonorrhea,MONDO:0004277
naltrexone,CHEBI:7465,obesity disorder,MONDO:0011122
venlafaxine,CHEBI:9943,social phobia,MONDO:0001247
fluticasone,CHEBI:5134,Chronic small plaque psoriasis,UMLS:C0406317
demeclocycline,UNII:5R5W9ICI6O,brucellosis,MONDO:0005683
cortisol,CHEBI:5783,sarcoidosis,MONDO:0019338
isoprenaline,CHEBI:64317,Hypovolemic shock,HP:0031274
cefonicid,CHEBI:3491,Bacterial sepsis,UMLS:C0684256
demeclocycline,UNII:5R5W9ICI6O,lymphogranuloma venereum,MONDO:0005834
ertapenem,CHEBI:404903,Community acquired pneumonia,UMLS:C0694549
propylthiouracil,CHEBI:8502,hyperthyroidism,MONDO:0004425
fenofibrate,CHEBI:5001,hypoalphalipoproteinemia,MONDO:0017773
pemetrexed,CHEBI:63616,non-small cell lung carcinoma,MONDO:0005233
granisetron,CHEBI:94501,Postoperative Nausea and Vomiting,UMLS:C0520909
triamcinolone,CHEBI:9667,Transplanted organ rejection,UMLS:C0345468
amoxicillin,CHEBI:2676,Bacterial urinary infection,UMLS:C0729524
formoterol,CHEBI:5147,intrinsic asthma,MONDO:0004765
penicillamine,CHEBI:7959,Wilson disease,MONDO:0010200
dobutamine,CHEBI:4670,Decompensated cardiac failure,UMLS:C0581377
toloxatone,CHEBI:134870,depressive disorder,MONDO:0002050
sildenafil,CHEBI:9139,erectile dysfunction,MONDO:0005362
oxacillin,CHEBI:7809,Staphylococcal bacteremia,UMLS:C0152965
desipramine,CHEBI:47781,depressive disorder,MONDO:0002050
garenoxacin,CHEBI:131716,peritonsillar abscess,MONDO:0005906
fluoxetine,CHEBI:5118,Premenstrual Dysphoric Disorder,UMLS:C0520676
carbamazepine,CHEBI:3387,Bipolar disorder in remission,UMLS:C0270425
warfarin,CHEBI:10033,Pulmonary thromboembolism,HP:0034192
idelalisib,CHEBI:82701,B-cell chronic lymphocytic leukemia,MONDO:0004948
salsalate,CHEBI:9014,osteoarthritis,MONDO:0005178
gatifloxacin,CHEBI:5280,Haemophilus influenzae pneumonia,UMLS:C0276026
esomeprazole,CHEBI:50275,Upper gastrointestinal hemorrhage,UMLS:C0041909
neomycin,CHEBI:7507,keratitis,MONDO:0003085
primaquine,CHEBI:8405,Plasmodium vivax malaria,MONDO:0005921
tamoxifen,CHEBI:41774,female breast carcinoma,MONDO:0004379
metronidazole,CHEBI:6909,Sepsis caused by Bacteroides,UMLS:C0276064
prednisolone,CHEBI:8378,Exacerbation of asthma,UMLS:C0349790
cefamandole,CHEBI:3480,pneumonia,MONDO:0005249
